Company,Job Title,Salary
Orcalo Limited,Junior UI/UX Designer,"Rs 40,000 a month"
DevDimensions,UI/UX Designer [Intern],"Rs 15,000 a month"
Concept Beans (Pvt.) Ltd,UI/UX Designer (Mid-Level),"Rs 70,000 - Rs 85,000 a month"
TechSwivel (pvt) Ltd.,Junior UI/UX Designer,No Salary
Orcalo Limited,Senior UI/UX Designer,"Rs 60,000 a month"
Digital Media Line,UI/UX Designer,"Rs 60,000 - Rs 80,000 a month"
HighApp Solutions,Senior UI/UX Designer,"Rs 70,000 - Rs 100,000 a month"
Machine learning 1,Jr. level Ux/Ui designer,No Salary
TechSwivel (pvt) Ltd.,Trainee UI/UX Designer (Leading to Job),No Salary
Smart Placement (Pvt) Ltd,UI/UX Designer,"Rs 25,308 - Rs 81,436 a month"
Qbatch,jr. UI\UX Designer,No Salary
Digixvalley LLC,Junior UI / UX Designer,"Rs 25,000 - Rs 75,000 a month"
InvoByte,UI / UX Designer,No Salary
Punch Digital Agency,UI/UX Designer,No Salary
Fashco Technologies (PVT) LTD,UX Designer,"Rs 60,000 - Rs 75,000 a month"
Citrok,UI/UX Product Designer,No Salary
Programmers Force,UI/UX Designer,No Salary
Machine learning 1,Mid level Ux/Ui designer,No Salary
AffinityVibez Pvt Ltd,Graphic Designer (UI/UX),"Rs 35,000 - Rs 45,000 a month"
Starzplay Arabia,Jr. UX/UI Product Designer,No Salary
My Technology Pvt Ltd,Sr. UI/UX Designer,"Rs 70,000 - Rs 90,000 a month"
Intagleo Systems Pvt Ltd.,UI / UX Designer,No Salary
Xgrid,UI/UX Designer,No Salary
Tenws,Graphic Designer | UI Designer,"Rs 30,000 - Rs 40,000 a month"
ZAPTA Technologies (Pvt.) Limited,UI/UX Designer,No Salary
Septem Systems,UI/UX Designer,No Salary
Skingen,Graphic Designer Ui/Ux,"Rs 45,000 - Rs 80,000 a month"
Loyalty Sense Inc.,UI/UX Designer & Web Developer (Front end Developer),"Rs 60,000 - Rs 80,000 a month"
"American Lyceum International School, Pakistan",Ui/Ux Designer,"Rs 20,000 - Rs 40,000 a month"
Preesoft Private Limited,UI / UX Designer,"Rs 25,000 - Rs 30,000 a month"
FiveRivers Technologies,UI/UX Designer,No Salary
Hazel Mobile,UI/UX Designer,No Salary
TopSpot,Graphic Designer - (UI/UX),No Salary
Orcalo Limited,UI/UX Designer,"Rs 40,000 a month"
Educative,UX Designer,No Salary
TOP Agency,UI/UX Designer,No Salary
Caramel Tech Studios,UI/UX Designer,No Salary
Pentaloop,UI UX Graphic designer,No Salary
Digixvalley LLC,Creative UX (User Experience ) Designer,"Rs 30,000 - Rs 65,000 a month"
Emenac Inc,Web Graphic Designer,"Rs 30,000 - Rs 50,000 a month"
Emenac Inc,Graphics Designer - Social Media,"Rs 30,000 - Rs 50,000 a month"
Quantum LHE Pvt Ltd,Senior Graphic Designer,"Rs 100,000 a month"
Smart Placement (Pvt) Ltd,UI/ UX Developer,No Salary
Evonicsoft (Pvt.) Ltd.,Graphics Designer,No Salary
Educative,Creative Director,No Salary
ENTERTAINER FZ LLC,UI / UX Designer (Mid & Sr.) - Lahore,No Salary
QBXNet,Head of UI/UX,No Salary
CodeEnlight,Lead Product Designer,No Salary
Smart Placement (Pvt) Ltd,Graphic Designer,No Salary
Green Softech,Graphic Designer,"Rs 35,000 - Rs 50,000 a month"
THE A Team,Graphic Designer,No Salary
Aetmaad.com,Graphic Designer,"Rs 40,000 a month"
MavenUp Creatives Pvt. Ltd.,Expert Graphic Designer Required for Website Design,"Rs 50,000 a month"
Growup Labs,Web designer,"Rs 30,000 a month"
OpenSol Global,Graphics & Web Designer,No Salary
Avanceon MEA,Graphic Designer,No Salary
Tracking World (Pvt) Ltd.,Web & Graphic Designer,"Rs 40,000 a month"
KodeInn Technologies,HR executive,"Rs 40,000 - Rs 50,000 a month"
Status 200 Pvt Ltd,HR Executive [With Past experience working in a Software hou...,"Rs 40,000 - Rs 50,000 a month"
SSA Soft Pvt Ltd.,WordPress Developer,"Rs 75,000 - Rs 140,000 a month"
